epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,965.255,0.6988,0.45515,0.11798,0.83072,0.87788,0.86647,0.45379,0.50884,0.45922,0.06237,0.00066538,0.00066538,0.00066538
2,1490.11,0.53884,0.44298,0.06334,0.87059,0.90827,0.92611,0.57096,0.40105,0.43726,0.04881,0.00128809,0.00128809,0.00128809
3,2135.37,0.50658,0.44255,0.05786,0.87418,0.91902,0.92662,0.58573,0.38931,0.43077,0.04707,0.0018668,0.0018668,0.0018668
4,3430.52,0.48719,0.4394,0.05486,0.86327,0.90537,0.91605,0.51141,0.45947,0.44408,0.05528,0.001802,0.001802,0.001802
5,4422.28,0.4784,0.43528,0.05188,0.86777,0.90935,0.92638,0.56847,0.40526,0.42951,0.04871,0.001736,0.001736,0.001736
6,6720.07,0.45946,0.43135,0.04998,0.87995,0.9259,0.9425,0.61168,0.3759,0.42301,0.04531,0.00167,0.00167,0.00167
7,7306.26,0.45227,0.43018,0.04933,0.88513,0.92424,0.94576,0.59852,0.38662,0.42495,0.04658,0.001604,0.001604,0.001604
8,8148.3,0.45165,0.42986,0.04926,0.87537,0.91073,0.92406,0.51952,0.46935,0.43704,0.06066,0.001538,0.001538,0.001538
9,8713.49,0.44968,0.43022,0.04892,0.87261,0.91051,0.92929,0.57619,0.39641,0.42518,0.04706,0.001472,0.001472,0.001472
10,9274.66,0.46938,0.43464,0.05156,0.87865,0.92407,0.94471,0.59464,0.3873,0.426,0.04702,0.001406,0.001406,0.001406
11,10417.4,0.43905,0.42786,0.04728,0.87841,0.92864,0.94372,0.60107,0.38619,0.42407,0.0465,0.00134,0.00134,0.00134
12,11078.8,0.43087,0.42812,0.04611,0.87867,0.92267,0.94674,0.61506,0.37534,0.42948,0.04565,0.001274,0.001274,0.001274
13,12233.6,0.42751,0.42556,0.04661,0.87223,0.92321,0.94079,0.60402,0.37451,0.42283,0.04447,0.001208,0.001208,0.001208
14,12949,0.42193,0.42454,0.04637,0.88016,0.9269,0.94731,0.62237,0.3634,0.4203,0.04337,0.001142,0.001142,0.001142
15,13421.6,0.41221,0.42263,0.04387,0.89104,0.92661,0.94828,0.6224,0.36528,0.41729,0.04392,0.001076,0.001076,0.001076
16,14877.4,0.41293,0.42166,0.04407,0.87672,0.92365,0.94718,0.61213,0.36476,0.42084,0.04381,0.00101,0.00101,0.00101
17,15475.6,0.41001,0.42118,0.04408,0.88435,0.92825,0.95127,0.62346,0.36315,0.41758,0.04327,0.000944,0.000944,0.000944
18,17392.5,0.4174,0.42383,0.04415,0.87525,0.92067,0.94165,0.58901,0.38061,0.42534,0.04606,0.000878,0.000878,0.000878
19,18154.5,0.40091,0.41782,0.04264,0.88667,0.92816,0.94869,0.61558,0.36132,0.42048,0.04254,0.000812,0.000812,0.000812
20,18808.3,0.39038,0.41536,0.04036,0.88259,0.92777,0.95284,0.62103,0.36148,0.41951,0.04339,0.000746,0.000746,0.000746
21,19334.8,0.38395,0.42051,0.0433,0.88118,0.92023,0.94278,0.58853,0.38803,0.4256,0.04752,0.00068,0.00068,0.00068
22,20007.6,0.38873,0.42228,0.0446,0.87999,0.92197,0.94305,0.5982,0.37568,0.42266,0.04509,0.000614,0.000614,0.000614
23,20625.7,0.3847,0.4207,0.04414,0.87982,0.93365,0.95056,0.62692,0.35786,0.41987,0.04287,0.000548,0.000548,0.000548
24,21103.7,0.3705,0.41488,0.04202,0.89129,0.92567,0.9508,0.63519,0.36239,0.41585,0.04328,0.000482,0.000482,0.000482
25,21730.3,0.36671,0.41293,0.04112,0.88607,0.92596,0.95523,0.63787,0.34613,0.41358,0.04125,0.000416,0.000416,0.000416
26,22451.7,0.36375,0.41056,0.04088,0.89013,0.92937,0.95396,0.61905,0.37236,0.42083,0.04496,0.00035,0.00035,0.00035
27,22919,0.36352,0.41074,0.04039,0.88932,0.92756,0.95519,0.64617,0.34689,0.41496,0.04101,0.000284,0.000284,0.000284
28,23534.3,0.35766,0.40583,0.03924,0.88857,0.92915,0.95615,0.65495,0.33996,0.41214,0.04048,0.000218,0.000218,0.000218
29,23965.3,0.34204,0.40094,0.0376,0.8903,0.92886,0.95373,0.64786,0.34073,0.41307,0.04097,0.000152,0.000152,0.000152
30,24395.8,0.33456,0.39845,0.03646,0.88775,0.92669,0.95639,0.6489,0.34111,0.41399,0.04068,8.6e-05,8.6e-05,8.6e-05
